Date,Q,Julian,Month,Day,DecYear,MonthSeq,waterYear,Qualifier,i,LogQ,Q7,Q30
1979-10-25,4.53069541898838,47413,10,299,1979.8144977169,1558,1980,A,25,1.51087544183832,3.53556053231772,
1979-10-26,4.55901226535705,47414,10,300,1979.81723744292,1558,1980,A,26,1.51710599158896,3.61242054388984,
1979-10-27,3.6245563351907,47415,10,301,1979.81997716895,1558,1980,A,27,1.28773189052411,3.61242054388984,
1979-10-28,3.2564373323979,47416,10,302,1979.82271689498,1558,1980,A,28,1.18063375496775,3.60837528012289,
1979-10-29,3.05821940781715,47417,10,303,1979.825456621,1558,1980,A,29,1.11783285372872,3.59623948882202,
1979-10-30,2.91663517597377,47418,10,304,1979.82819634703,1558,1980,A,30,1.07043061483413,3.59219422505507,5.11779803369895
1979-10-31,2.77505094413038,47419,10,305,1979.83093607306,1558,1980,A,31,1.02066910527507,3.53151526855076,5.14705877494659
1979-11-01,2.63346671228699,47420,11,306,1979.83367579909,1559,1980,A,32,0.968301119757754,3.26048259616485,5.16782446228362
1979-11-02,2.54851617318096,47421,11,307,1979.83641552511,1559,1980,A,33,0.935511296934763,2.97326886871112,5.16121719813093
1979-11-03,3.36970471787261,47422,11,308,1979.83915525114,1559,1980,A,34,1.21482511971603,2.93686149480854,5.14517098518868
1979-11-04,6.37129043295241,47423,11,309,1979.84189497717,1559,1980,A,35,1.85180202880892,3.38184050917347,5.22162647038411
1979-11-05,7.05089474580066,47424,11,310,1979.8446347032,1559,1980,A,36,1.95315452306921,3.95222270031397,5.34999617392211
1979-11-06,4.7572301899378,47425,11,311,1979.84737442922,1559,1980,A,37,1.55966560600776,4.21516484516597,5.41040544617529
1979-11-07,3.8794079525088,47426,11,312,1979.85011415525,1559,1980,A,38,1.35568255243262,4.37293013207717,5.4528807157283
1979-11-08,3.53960579608467,47427,11,313,1979.85285388128,1559,1980,A,39,1.2640153639068,4.5023785726197,5.49346819552341
1979-11-09,3.28475417876657,47428,11,314,1979.85559360731,1559,1980,A,40,1.18929181771086,4.6075554305605,5.48874872112863
1979-11-10,3.17148679329186,47429,11,315,1979.85833333333,1559,1980,A,41,1.15420049789959,4.57923858419182,5.24427994747905
1979-11-11,3.51128894971599,47430,11,316,1979.86107305936,1559,1980,A,42,1.25598319220953,4.17066694372948,4.87521704980728
1979-11-12,8.77822237428998,47431,11,317,1979.86381278539,1559,1980,A,43,2.17227392408369,4.41742803351367,4.81952725194889
1979-11-13,14.1584231843387,47432,11,318,1979.86655251142,1559,1980,A,44,2.65030972502669,5.76045560414237,4.85256357271234
1979-11-14,10.7604016200974,47433,11,319,1979.86929223744,1559,1980,A,45,2.37587287932493,6.74345469951217,4.75817408481675
1979-11-15,8.94812345250204,47434,11,320,1979.87203196347,1559,1980,A,46,2.19144384019141,7.51610007900036,4.75911797969571
1979-11-16,7.22079582401273,47435,11,321,1979.8747716895,1559,1980,A,47,1.97696517176292,8.07839174260695,4.7893226158223
1979-11-17,5.60673558099812,47436,11,322,1979.87751141553,1559,1980,A,48,1.72396865729903,8.42628442656499,4.81763946219097
1979-11-18,4.58732911172573,47437,11,323,1979.88025114155,1559,1980,A,49,1.52329796183688,8.58000444970924,4.83651735977009
1979-11-19,4.04930903072086,47438,11,324,1979.88299086758,1559,1980,A,50,1.39854625686441,7.90444540062794,4.85067578295443
1979-11-20,3.70950687429673,47439,11,325,1979.88573059361,1559,1980,A,51,1.31089894980565,6.41174307062194,4.86483420613877
1979-11-21,3.51128894971599,47440,11,326,1979.88847031964,1559,1980,A,52,1.25598319220953,5.37615554628174,4.8771048395652
1979-11-22,3.31307102513525,47441,11,327,1979.89121004566,1559,1980,A,53,1.19787556140225,4.57114805665792,4.88937547299162
1979-11-23,3.19980363966054,47442,11,328,1979.89394977169,1559,1980,A,54,1.16308944531684,3.99672060175046,4.88937547299162
1979-11-24,3.14316994692319,47443,11,329,1979.89668949772,1559,1980,A,55,1.14523182791683,3.64478265402547,4.84312462392278
1979-11-25,3.02990256144848,47444,11,330,1979.89942922374,1559,1980,A,56,1.1085304610664,3.42229314684301,4.79215430045916
1979-11-26,3.51128894971599,47445,11,331,1979.90216894977,1559,1980,A,57,1.25598319220953,3.34543313527088,4.78837872094334
1979-11-27,7.13584528490669,47446,11,332,1979.9049086758,1559,1980,A,58,1.96513071411592,3.83491005107231,4.9176923193603
1979-11-28,8.66495498881527,47447,11,333,1979.90764840183,1559,1980,A,59,2.15928672855688,4.57114805665792,5.10458350539357
1979-11-29,6.2580230474777,47448,11,334,1979.91038812785,1559,1980,A,60,1.83386432812225,4.99185548842112,5.21596310111037
1979-11-30,4.61564595809441,47449,11,335,1979.91312785388,1559,1980,A,61,1.52945182741126,5.19411867676882,5.2773162682425
1979-12-01,3.85109110614012,47450,12,336,1979.91586757991,1560,1980,A,62,1.34835651234055,5.29525027094267,5.31790374803761
1979-12-02,3.51128894971599,47451,12,337,1979.91860730594,1560,1980,A,63,1.25598319220953,5.36401975498088,5.34999617392211
1979-12-03,3.2564373323979,47452,12,338,1979.92134703196,1560,1980,A,64,1.18063375496775,5.3276123810783,5.34622059440628
1979-12-04,3.08653625418583,47453,12,339,1979.92408675799,1560,1980,A,65,1.12704950883364,4.74913966240389,5.2367287884474
1979-12-05,2.97326886871112,47454,12,340,1979.92682648402,1560,1980,A,66,1.08966197676202,3.93604164524615,5.10080792587775
1979-12-06,2.97326886871112,47455,12,341,1979.92956621005,1560,1980,A,67,1.08966197676202,3.4667910482795,5.04134254850353
1979-12-07,3.36970471787261,47456,12,342,1979.93230593607,1560,1980,A,68,1.21482511971603,3.28879944253353,5.02435244068232
1979-12-08,3.99267533798351,47457,12,343,1979.9350456621,1560,1980,A,69,1.38446151698267,3.3090257613683,5.03945475874561
1979-12-09,3.70950687429673,47458,12,344,1979.93778538813,1560,1980,A,70,1.31089894980565,3.33734260773697,5.05361318192995
1979-12-10,3.28475417876657,47459,12,345,1979.94052511416,1560,1980,A,71,1.18929181771086,3.34138787150393,5.05738876144578
1979-12-11,3.11485310055451,47460,12,346,1979.94326484018,1560,1980,A,72,1.13618199239691,3.34543313527088,5.04417423314039
1979-12-12,2.97326886871112,47461,12,347,1979.94600456621,1560,1980,A,73,1.08966197676202,3.34543313527088,4.85067578295443
1979-12-13,3.08653625418583,47462,12,348,1979.94874429224,1560,1980,A,74,1.12704950883364,3.3616141903387,4.48161288528267
1979-12-14,4.38911118714499,47463,12,349,1979.95148401826,1560,1980,A,75,1.47912674352374,3.50724368594904,4.26923653751759
1979-12-15,5.86158719831621,47464,12,350,1979.95422374429,1560,1980,A,76,1.76842041986987,3.774231094568,4.1663519957114
1979-12-16,4.5023785726197,47465,12,351,1979.95696347032,1560,1980,A,77,1.50460582882473,3.88749848004271,4.07573808733163
1979-12-17,3.90772479887748,47466,12,352,1979.95970319635,1560,1980,A,78,1.3629553117617,3.97649428291569,4.01910439459427
1979-12-18,3.53960579608467,47467,12,353,1979.96244292237,1560,1980,A,79,1.2640153639068,4.03717323942,3.9841802840729
1979-12-19,3.19980363966054,47468,12,354,1979.9651826484,1560,1980,A,80,1.16308944531684,4.06953534955563,3.95586343770423
1979-12-20,3.05821940781715,47469,12,355,1979.96792237443,1560,1980,A,81,1.11783285372872,4.06549008578868,3.93415385548824
1979-12-21,2.94495202234245,47470,12,356,1979.97066210046,1560,1980,A,82,1.08009252574587,3.85918163367403,3.91527595790912
1979-12-22,2.86000148323641,47471,12,357,1979.97340182648,1560,1980,A,83,1.05082214344576,3.43038367437691,3.90017363984583
1979-12-23,2.86000148323641,47472,12,358,1979.97614155251,1560,1980,A,84,1.05082214344576,3.19575837589359,3.88884690129836
1979-12-24,2.86000148323641,47473,12,359,1979.97888127854,1560,1980,A,85,1.05082214344576,3.04608361651629,3.8794079525088
1979-12-25,3.39802156424128,47474,12,360,1979.98162100457,1560,1980,A,86,1.22319336938654,3.02585729768152,3.89167858593522
1979-12-26,4.70059649720044,47475,12,361,1979.98436073059,1560,1980,A,87,1.54768941496104,3.24025627733008,3.93132217085137
1979-12-27,4.44574487988234,47476,12,362,1979.98710045662,1560,1980,A,88,1.49194743195281,3.43847420191082,3.84165215735056
1979-12-28,3.6245563351907,47477,12,363,1979.98984018265,1560,1980,A,89,1.28773189052411,3.53556053231772,3.67363886889641
1979-12-29,3.2564373323979,47478,12,364,1979.99257990868,1560,1980,A,90,1.18063375496775,3.59219422505507,3.57358601172708
1979-12-30,3.08653625418583,47479,12,365,1979.9953196347,1560,1980,A,91,1.12704950883364,3.6245563351907,3.52261568826346
1979-12-31,2.94495202234245,47480,12,366,1979.99805936073,1560,1980,A,92,1.08009252574587,3.63669212649156,3.49241105213687
1980-01-01,2.83168463686774,47481,1,1,1980.00079690346,1561,1980,A,93,1.04087181259259,3.55578685115248,3.46975757504193
1980-01-02,2.71841725139303,47482,1,2,1980.0035291439,1561,1980,A,94,1.00004981807233,3.27261838746571,3.45182357234177
1980-01-03,2.60514986591832,47483,1,3,1980.00626138434,1561,1980,A,95,0.957490203653538,3.00967624261371,3.43577735939952
1980-01-04,2.52019932681228,47484,1,4,1980.00899362477,1561,1980,A,96,0.924337996336637,2.85191095570251,3.42067504133622
1980-01-05,2.57683301954964,47485,1,5,1980.01172586521,1561,1980,A,97,0.946561133121348,2.75482462529561,3.40746051303084
1980-01-06,2.83168463686774,47486,1,6,1980.01445810565,1561,1980,A,98,1.04087181259259,2.71841725139303,3.38952651033068
1980-01-07,2.60514986591832,47487,1,7,1980.01719034608,1561,1980,A,99,0.957490203653538,2.66987408618958,3.34327566126184
1980-01-08,2.77505094413038,47488,1,8,1980.01992258652,1561,1980,A,100,1.02066910527507,2.66178355865567,3.3121271302563
1980-01-09,3.02990256144848,47489,1,9,1980.02265482696,1561,1980,A,101,1.1085304610664,2.70628146009216,3.30363207634569
1980-01-10,2.97326886871112,47490,1,10,1980.0253870674,1561,1980,A,102,1.08966197676202,2.75886988906257,3.29891260195091
1980-01-11,3.05821940781715,47491,1,11,1980.02811930783,1561,1980,A,103,1.11783285372872,2.83572990063469,3.30174428658778
1980-01-12,12.4877292485867,47492,1,12,1980.03085154827,1561,1980,A,104,2.52474650205134,4.25157221906856,3.61511738640114
1980-01-13,18.3776332932716,47493,1,13,1980.03358378871,1561,1980,A,105,2.91113434330859,6.47242202712625,4.08140145660536
1980-01-14,10.6471342346227,47494,1,14,1980.03631602914,1561,1980,A,106,2.36529076999439,7.62127693694116,4.24091969114891
1980-01-15,8.01366752233569,47495,1,15,1980.03904826958,1561,1980,A,107,2.08114852424774,8.36965073382764,4.35796265613944
1980-01-16,6.48455781842711,47496,1,16,1980.04178051002,1561,1980,A,108,1.86942363015874,8.86317291339601,4.44385709012443
1980-01-17,5.1253491927306,47497,1,17,1980.04451275046,1561,1980,A,109,1.63419865787032,9.17061295968451,4.49671520334597
1980-01-18,4.92713126814986,47498,1,18,1980.04724499089,1561,1980,A,110,1.59475692581903,9.43760036830347,4.55429279096228
1980-01-19,11.4683227793143,47499,1,19,1980.04997723133,1561,1980,A,111,2.43958869371104,9.29197087269313,4.83462957001218
1980-01-20,15.0645622681364,47500,1,20,1980.05270947177,1561,1980,A,112,2.71234511594614,8.81867501195952,5.23861657820531
1980-01-21,9.76931199719369,47501,1,21,1980.0554417122,1561,1980,A,113,2.27924604363586,8.69327183518395,5.46892692867055
1980-01-22,7.53228113406818,47502,1,22,1980.05817395264,1561,1980,A,114,2.0191979353862,8.62450235114573,5.62466958369828
1980-01-23,9.08970768434543,47503,1,23,1980.06090619308,1561,1980,A,115,2.20714274973451,8.99666661770549,5.83232645706858
1980-01-24,10.9019858519408,47504,1,24,1980.06363843352,1561,1980,A,116,2.38894496089228,9.82190042616409,6.0824585999919
1980-01-25,8.04198436870437,47505,1,25,1980.06637067395,1561,1980,A,117,2.0846758647657,10.266879440529,6.19383819570869
1980-01-26,6.03148827652828,47506,1,26,1980.06910291439,1561,1980,A,118,1.79699379231392,9.49018879727387,6.24669630893023
1980-01-27,4.67227965083176,47507,1,27,1980.07183515483,1561,1980,A,119,1.54164710050508,8.00557699480178,6.2816204194516
1980-01-28,4.02099218435219,47508,1,28,1980.07456739526,1561,1980,A,120,1.39152868420576,7.18438845011014,6.3071055811834
1980-01-29,3.99267533798351,47509,1,29,1980.0772996357,1561,1980,A,121,1.38446151698267,6.6787304792409,6.33731021730999
1980-01-30,3.70950687429673,47510,1,30,1980.08003187614,1561,1980,A,122,1.31089894980565,5.91013036351966,6.3627953790418
1980-01-31,3.45465525697864,47511,1,31,1980.08276411658,1561,1980,A,123,1.23972267133775,4.84622599281078,6.38356106637883
1980-02-01,3.34138787150393,47512,2,32,1980.08549635701,1562,1980,A,124,1.20638625107016,4.17471220749643,6.40432675371586
1980-02-02,3.14316994692319,47513,2,33,1980.08822859745,1562,1980,A,125,1.14523182791683,3.76209530326713,6.42226075641603
1980-02-03,3.14316994692319,47514,2,34,1980.09096083789,1562,1980,A,126,1.14523182791683,3.54365105985162,6.44302644375306
1980-02-04,2.94495202234245,47515,2,35,1980.09369307832,1562,1980,A,127,1.08009252574587,3.38993103670737,6.45529707717948
1980-02-05,2.7467340977617,47516,2,36,1980.09642531876,1562,1980,A,128,1.01041260510788,3.2119394309614,6.45246539254262
1980-02-06,2.49188248044361,47517,2,37,1980.0991575592,1562,1980,A,129,0.913038441082704,3.03799308898238,6.44868981302679
1980-02-07,2.49188248044361,47518,2,38,1980.10188979964,1562,1980,A,130,0.913038441082704,2.90045412090595,6.43925086423723
1980-02-08,2.46356563407493,47519,2,39,1980.10462204007,1562,1980,A,131,0.901609745259081,2.77505094413038,6.42037296665811
1980-02-09,2.43524878770625,47520,2,40,1980.10735428051,1562,1980,A,132,0.890048922858005,2.67391934995653,6.40243896395795
1980-02-10,2.49188248044361,47521,2,41,1980.11008652095,1562,1980,A,133,0.913038441082704,2.58087828331659,6.38356106637883
1980-02-11,2.46356563407493,47522,2,42,1980.11281876138,1562,1980,A,134,0.901609745259081,2.51210879927838,6.04942227922844
1980-02-12,2.43524878770625,47523,2,43,1980.11555100182,1562,1980,A,135,0.890048922858005,2.46761089784188,5.51800946237626
1980-02-13,2.32198140223154,47524,2,44,1980.11828324226,1562,1980,A,136,0.842420873868751,2.44333931524016,5.24050436796322
1980-02-14,2.26534770949419,47525,2,45,1980.1210154827,1562,1980,A,137,0.817728261278379,2.41097720510453,5.04889370753517
1980-02-15,2.32198140223154,47526,2,46,1980.12374772313,1562,1980,A,138,0.842420873868751,2.39075088626976,4.91014116032865
1980-02-16,2.57683301954964,47527,2,47,1980.12647996357,1562,1980,A,139,0.946561133121348,2.41097720510453,4.82519062122262
1980-02-17,3.17148679329186,47528,2,48,1980.12921220401,1562,1980,A,140,1.15420049789959,2.50806353551142,4.76666913872736
1980-02-18,2.97326886871112,47529,2,49,1980.13194444444,1562,1980,A,141,1.08966197676202,2.58087828331659,4.48350067504058
1980-02-19,2.69010040502435,47530,2,50,1980.13467668488,1562,1980,A,142,0.989578518205039,2.61728565721918,4.07101861293685
1980-02-20,2.60514986591832,47531,2,51,1980.13740892532,1562,1980,A,143,0.957490203653538,2.65773829488872,3.832213208561
1980-02-21,2.69010040502435,47532,2,52,1980.14014116576,1562,1980,A,144,0.989578518205039,2.71841725139303,3.67080718425954
1980-02-22,2.91663517597377,47533,2,53,1980.14287340619,1562,1980,A,145,1.07043061483413,2.80336779049906,3.46503810064715
1980-02-23,3.2564373323979,47534,2,54,1980.14560564663,1562,1980,A,146,1.18063375496775,2.90045412090595,3.21018648332906
1980-02-24,3.36970471787261,47535,2,55,1980.14833788707,1562,1980,A,147,1.21482511971603,2.92877096727463,3.05444382830133
1980-02-25,3.22812048602922,47536,2,56,1980.1510701275,1562,1980,A,148,1.17190007499899,2.96517834117721,2.9609982352847
1980-02-26,3.2564373323979,47537,2,57,1980.15380236794,1562,1980,A,149,1.18063375496775,3.04608361651629,2.9138034913369
1980-02-27,3.14316994692319,47538,2,58,1980.15653460838,1562,1980,A,150,1.14523182791683,3.12294362808842,2.88454275008927
1980-02-28,2.91663517597377,47539,2,59,1980.15926684882,1562,1980,A,151,1.07043061483413,3.15530573822405,2.84867474468894
1980-02-29,2.80336779049906,47540,2,60,1980.16199908925,1562,1980,A,152,1.03082147673909,3.13912468315623,2.81847010856235
1980-03-01,2.57683301954964,47541,3,61,1980.16473132969,1563,1980,A,153,0.946561133121348,3.04203835274934,2.78920936731472
1980-03-02,2.29366455586287,47542,3,62,1980.16746357013,1563,1980,A,154,0.830150781276936,2.88831832960509,2.75428525679335
1980-03-03,2.54851617318096,47543,3,63,1980.17019581056,1563,1980,A,155,0.935511296934763,2.7912319991982,2.73446346433528
1980-03-04,2.7467340977617,47544,3,64,1980.172928051,1563,1980,A,156,1.01041260510788,2.71841725139303,2.72124893602989
1980-03-05,2.88831832960509,47545,3,65,1980.17566029144,1563,1980,A,157,1.06067443988877,2.68200987749044,2.71936114627198
1980-03-06,3.93604164524615,47546,3,66,1980.17839253188,1563,1980,A,158,1.37017555973519,2.82763937310078,2.75900473118813
1980-03-07,4.27584380167028,47547,3,67,1980.18112477231,1563,1980,A,159,1.45298146341942,3.03799308898238,2.81847010856235
1980-03-08,3.65287318155938,47548,3,68,1980.18385701275,1563,1980,A,160,1.29551403096617,3.19171311212663,2.85716979859955
1980-03-09,3.36970471787261,47549,3,69,1980.18658925319,1563,1980,A,161,1.21482511971603,3.34543313527088,2.88737443472614
1980-03-10,3.02990256144848,47550,3,70,1980.18932149362,1563,1980,A,162,1.1085304610664,3.4142026193091,2.90719622718421
1980-03-11,2.97326886871112,47551,3,71,1980.19205373406,1563,1980,A,163,1.08966197676202,3.44656472944473,2.92324244012646
1980-03-12,3.08653625418583,47552,3,72,1980.1947859745,1563,1980,A,164,1.12704950883364,3.47488157581341,2.94400812746349
1980-03-13,3.11485310055451,47553,3,73,1980.19751821494,1563,1980,A,165,1.13618199239691,3.35756892657174,2.96666160455843
1980-03-14,11.0152532374155,47554,3,74,1980.20025045537,1563,1980,A,166,2.39928097022294,4.32034170310677,3.2564373323979
1980-03-15,16.9617909748377,47555,3,75,1980.20298269581,1563,1980,A,167,2.83096322471995,6.22161567357511,3.74631877457601
1980-03-16,10.1657478463552,47556,3,76,1980.20571493625,1563,1980,A,168,2.31902401509278,7.19247897764405,4.0077776560468
1980-03-17,7.05089474580066,47557,3,77,1980.20844717668,1563,1980,A,169,1.95315452306921,7.7669064325515,4.15691304692183
1980-03-18,6.37129043295241,47558,3,78,1980.21117941712,1563,1980,A,170,1.85180202880892,8.25233808458597,4.26357316824385
1980-03-19,6.82435997485124,47559,3,79,1980.21391165756,1563,1980,A,171,1.92049856009515,8.78631290182389,4.39194287178186
1980-03-20,5.49346819552341,47560,3,80,1980.216643898,1563,1980,A,172,1.70355978566783,9.12611505824801,4.48538846479849
1980-03-21,5.49346819552341,47561,3,81,1980.21937613843,1563,1980,A,173,1.70355978566783,8.337288623692,4.581665742452
1980-03-22,9.31624245529485,47562,3,82,1980.22210837887,1563,1980,A,174,2.23175937736987,7.24506740661445,4.80253714412768
1980-03-23,9.42950984076956,47563,3,83,1980.22484061931,1563,1980,A,175,2.24384411658494,7.13989054867365,5.01963296628754
1980-03-24,6.85267682121992,47564,3,84,1980.22757285975,1563,1980,A,176,1.92463935276118,7.11157370230497,5.13950761591494
1980-03-25,11.3550553938396,47565,3,85,1980.23030510018,1563,1980,A,177,2.42966305391107,7.82354012528886,5.40568597178051
1980-03-26,17.2166425921558,47566,3,86,1980.23303734062,1563,1980,A,178,2.84587650857067,9.30815192776094,5.87197004198473
1980-03-27,10.618817388254,47567,3,87,1980.23576958106,1563,1980,A,179,2.36262765257491,10.0403446695796,6.11738271051326
1980-03-28,6.85267682121992,47568,3,88,1980.23850182149,1563,1980,A,180,1.92463935276118,10.2345173303934,6.24103293965649
1980-03-29,9.34455930166353,47569,3,89,1980.24123406193,1563,1980,A,181,2.23479428106502,10.2385625941603,6.45529707717948
1980-03-30,22.7384276340479,47570,3,90,1980.24396630237,1563,1980,A,182,3.12405634055126,12.1398365646287,7.11979907196444
1980-03-31,19.1138712988572,47571,3,91,1980.24669854281,1563,1980,A,183,2.95041431747703,13.8914357757197,7.67103368127469
1980-04-01,22.115457013937,47572,4,92,1980.24943078324,1564,1980,A,184,3.09627677644418,15.4286360071622,8.33176009654383
1980-04-02,18.604168064221,47573,4,93,1980.25216302368,1564,1980,A,185,2.92338564508911,15.6268539317429,8.86694849291184
1980-04-03,11.1285206228902,47574,4,94,1980.25489526412,1564,1980,A,186,2.40951123847376,15.6996686795481,9.14634137708279
1980-04-04,9.48614353350691,47575,4,95,1980.25762750455,1564,1980,A,187,2.24983215842956,16.0758782098748,9.36626888387951
1980-04-05,12.4310955558494,47576,4,96,1980.26035974499,1564,1980,A,188,2.52020103967967,16.5168119604728,9.64943734756629
1980-04-06,9.99584676814311,47577,4,97,1980.26309198543,1564,1980,A,189,2.30216968353779,14.6964432653435,9.84010411311538
1980-04-07,6.37129043295241,47578,4,98,1980.26582422587,1564,1980,A,190,1.85180202880892,12.8760745702143,9.93071802149515
1980-04-08,5.80495350557886,47579,4,99,1980.2685564663,1564,1980,A,191,1.75871160574291,10.5460026404488,10.0118929810854
1980-04-09,5.72000296647283,47580,4,100,1980.27128870674,1564,1980,A,192,1.7439693240057,8.70540762648481,10.1015629945862
1980-04-10,9.8825793826684,47581,4,101,1980.27402094718,1564,1980,A,193,2.29077354880693,8.52741602073884,10.3318733450514
1980-04-11,16.5653551256763,47582,4,102,1980.27675318761,1564,1980,A,194,2.80731347383635,9.53873196247731,10.7811673074344
1980-04-12,9.48614353350691,47583,4,103,1980.27948542805,1564,1980,A,195,2.24983215842956,9.11802453071411,10.9935436551995
1980-04-13,6.14475566200299,47584,4,104,1980.28221766849,1564,1980,A,196,1.81559898014496,8.56786865840838,10.8311937360191
1980-04-14,5.55010188826076,47585,4,105,1980.28494990893,1564,1980,A,197,1.71381628583501,8.45055600916671,10.4508040997999
1980-04-15,5.55010188826076,47586,4,106,1980.28768214936,1564,1980,A,198,1.71381628583501,8.41414863526413,10.29694923453
1980-04-16,5.55010188826076,47587,4,107,1980.2904143898,1564,1980,A,199,1.71381628583501,8.3898770526624,10.2469228059454
1980-04-17,4.38911118714499,47588,4,108,1980.29314663024,1564,1980,A,200,1.47912674352374,7.60509588187335,10.1808501644185
1980-04-18,4.07762587708954,47589,4,109,1980.29587887067,1564,1980,A,201,1.4055149261805,5.82113456064667,10.0892923611597
1980-04-19,3.70950687429673,47590,4,110,1980.29861111111,1564,1980,A,202,1.31089894980565,4.99590075218808,10.0298269837855
1980-04-20,3.56792264245335,47591,4,111,1980.30134335155,1564,1980,A,203,1.27198353355598,4.62778174939527,9.96564213201652
1980-04-21,3.34138787150393,47592,4,112,1980.30407559199,1564,1980,A,204,1.20638625107016,4.31225117557287,9.76648031255682
1980-04-22,3.14316994692319,47593,4,113,1980.30680783242,1564,1980,A,205,1.14523182791683,3.96840375538178,9.55693564942861
1980-04-23,2.94495202234245,47594,4,114,1980.30954007286,1564,1980,A,206,1.08009252574587,3.59623948882202,9.42667815613269
1980-04-24,2.80336779049906,47595,4,115,1980.3122723133,1564,1980,A,207,1.03082147673909,3.36970471787261,9.14162190268801
1980-04-25,2.80336779049906,47596,4,116,1980.31500455373,1564,1980,A,208,1.03082147673909,3.18766784835968,8.66117940929945
1980-04-26,2.80336779049906,47597,4,117,1980.31773679417,1564,1980,A,209,1.03082147673909,3.05821940781715,8.40066442270762
1980-04-27,3.39802156424128,47598,4,118,1980.32046903461,1564,1980,A,210,1.22319336938654,3.03394782521543,8.28550924747499
1980-04-28,5.91822089105357,47599,4,119,1980.32320127505,1564,1980,A,211,1.77803587856931,3.40206682800824,8.17129796712133
1980-04-29,10.3073320781986,47600,4,120,1980.32593351548,1564,1980,A,212,2.33285549424124,4.42551856104758,7.75692811525968
1980-04-30,13.0257493295916,47601,4,121,1980.32866575592,1564,1980,A,213,2.56692811608764,5.86563246208317,7.55399071628416
1980-05-01,16.1972361228834,47602,5,122,1980.33139799636,1565,1980,A,214,2.7848406179843,7.77904222385236,7.35671668658238
1980-05-02,23.6728835642143,47603,5,123,1980.33413023679,1565,1980,A,215,3.1643302396892,10.7604016200974,7.52567386991549
1980-05-03,15.092879114505,47604,5,124,1980.33686247723,1565,1980,A,216,2.71422305077034,12.5160460949554,7.65781915296931
1980-05-04,9.42950984076956,47605,5,125,1980.33959471767,1565,1980,A,217,2.24384411658494,13.3776872773166,7.6559313632114
1980-05-05,6.22970620110902,47606,5,126,1980.34232695811,1565,1980,A,218,1.82932917295686,13.4221851787531,7.44921838472006
1980-05-06,5.46515134915473,47607,5,127,1980.34505919854,1565,1980,A,219,1.69839181550938,12.7304450746039,7.29819520408711
1980-05-07,4.44574487988234,47608,5,128,1980.34779143898,1565,1980,A,220,1.49194743195281,11.5047301532169,7.23401035231811
1980-05-08,3.85109110614012,47609,5,129,1980.35052367942,1565,1980,A,221,1.34835651234055,9.74099515082501,7.16888160567015
