huc8,eventid,cruise,program,project,agency,source,station,sampledate,sampletime,totaldepth,upperpycnocline,lowerpycnocline,depth,layer,sampletype,samplereplicatetype,parameter,qualifier,measurevalue,unit,method,lab,problem,precisionpc,biaspc,details,latitude,longitude,tierlevel
2080101,448771,bay720,twqm,main,vadeq,odu,cb7.1,2018-05-16t00:00:00,10:33:00,17,,,16,b,d,s1,chla,"",9.078,ug/l,l01,odu,"",,,"",37.68346,-75.98966,t3
2080101,448780,bay720,twqm,main,vadeq,odu,cb7.2,2018-05-14t00:00:00,13:45:00,20,,,19,b,d,s1,chla,"",5.5536,ug/l,l01,odu,"",,,"",37.41153,-76.07966,t3
2080101,448777,bay720,twqm,main,vadeq,odu,cb7.1s,2018-05-16t00:00:00,11:24:00,16,,,15,b,d,s1,chla,"",7.3692,ug/l,l01,odu,"",,,"",37.58124,-76.05799,t3
2080101,448771,bay720,twqm,main,vadeq,odu,cb7.1,2018-05-16t00:00:00,10:33:00,17,,,1,s,d,s1,chla,"",5.5536,ug/l,l01,odu,"",,,"",37.68346,-75.98966,t3
2080101,448780,bay720,twqm,main,vadeq,odu,cb7.2,2018-05-14t00:00:00,13:45:00,20,,,1,s,d,s1,chla,"",3.5244,ug/l,l01,odu,"",,,"",37.41153,-76.07966,t3
2080101,448783,bay720,twqm,main,vadeq,odu,cb7.2e,2018-05-14t00:00:00,13:17:00,13,,,1,s,d,s1,chla,"",3.8448,ug/l,l01,odu,"",,,"",37.41153,-76.02466,t3
2080101,448786,bay720,twqm,main,vadeq,odu,cb7.3,2018-05-14t00:00:00,11:15:00,13,2,2,1,ap,d,s1,chla,"",3.8448,ug/l,l01,odu,"",,,sample_collected_approximately_13_minutes_after_surface_sample_collected.,37.11681,-76.12521,t3
2080101,448783,bay720,twqm,main,vadeq,odu,cb7.2e,2018-05-14t00:00:00,13:17:00,13,,,12,b,d,s1,chla,"",5.6604,ug/l,l01,odu,"",,,"",37.41153,-76.02466,t3
2080101,448786,bay720,twqm,main,vadeq,odu,cb7.3,2018-05-14t00:00:00,11:15:00,13,2,2,1,s,d,s1,chla,"",2.4564,ug/l,l01,odu,"",,,sample_collected_approximately_13_minutes_before_above_pycnocline_sample_collected.,37.11681,-76.12521,t3
2080101,448786,bay720,twqm,main,vadeq,odu,cb7.3,2018-05-14t00:00:00,11:15:00,13,2,2,12,b,d,s1,chla,"",3.4176,ug/l,l01,odu,"",,,"",37.11681,-76.12521,t3
2080101,448789,bay720,twqm,main,vadeq,odu,cb7.3e,2018-05-14t00:00:00,12:01:00,22,,,1,s,d,s1,chla,"",3.4176,ug/l,l01,odu,"",,,"",37.22875,-76.05383,t3
2080101,448789,bay720,twqm,main,vadeq,odu,cb7.3e,2018-05-14t00:00:00,12:01:00,22,,,21,b,d,s1,chla,"",4.4856,ug/l,l01,odu,"",,,"",37.22875,-76.05383,t3
2080101,448786,bay720,twqm,main,vadeq,odu,cb7.3,2018-05-14t00:00:00,11:15:00,13,2,2,3,bp,d,s1,chla,"",4.0584,ug/l,l01,odu,"",,,"",37.11681,-76.12521,t3
2080101,448792,bay720,twqm,main,vadeq,odu,cb7.4,2018-05-14t00:00:00,09:40:00,15,3,10,14,b,d,s1,chla,"",1.602,ug/l,l01,odu,"",,,"",36.9957,-76.02048,t3
2080101,448792,bay720,twqm,main,vadeq,odu,cb7.4,2018-05-14t00:00:00,09:40:00,15,3,10,11,bp,d,s1,chla,"",1.7088,ug/l,l01,odu,"",,,"",36.9957,-76.02048,t3
2080101,448792,bay720,twqm,main,vadeq,odu,cb7.4,2018-05-14t00:00:00,09:40:00,15,3,10,2,ap,d,s1,chla,g,0.8544,ug/l,l01,odu,"",,,"",36.9957,-76.02048,t3
2080101,448794,bay720,twqm,main,vadeq,odu,cb7.4n,2018-05-14t00:00:00,10:21:00,11,,,10,b,d,s1,chla,"",2.5632,ug/l,l01,odu,"",,,"",37.06237,-75.99937,t3
2080101,448792,bay720,twqm,main,vadeq,odu,cb7.4,2018-05-14t00:00:00,09:40:00,15,3,10,1,s,d,s1,chla,"",1.068,ug/l,l01,odu,"",,,"",36.9957,-76.02048,t3
2080101,448794,bay720,twqm,main,vadeq,odu,cb7.4n,2018-05-14t00:00:00,10:21:00,11,,,10,b,d,s2,chla,"",2.3496,ug/l,l01,odu,"",,,"",37.06237,-75.99937,t3
2080101,448794,bay720,twqm,main,vadeq,odu,cb7.4n,2018-05-14t00:00:00,10:21:00,11,,,1,s,d,s1,chla,"",1.3884,ug/l,l01,odu,"",,,"",37.06237,-75.99937,t3
2080101,448796,bay720,twqm,main,vadeq,odu,cb8.1,2018-05-14t00:00:00,08:19:00,10,,,9,b,d,s1,chla,"",4.6992,ug/l,l01,odu,"",,,"",36.99542,-76.16772,t3
2080101,448799,bay720,twqm,main,vadeq,odu,cb8.1e,2018-05-14t00:00:00,09:10:00,15,,,14,b,d,s1,chla,"",2.7768,ug/l,l01,odu,"",,,"",36.94737,-76.03494,t3
2080101,448796,bay720,twqm,main,vadeq,odu,cb8.1,2018-05-14t00:00:00,08:19:00,10,,,1,s,d,s1,chla,"",3.204,ug/l,l01,odu,"",,,"",36.99542,-76.16772,t3
2080101,448794,bay720,twqm,main,vadeq,odu,cb7.4n,2018-05-14t00:00:00,10:21:00,11,,,1,s,d,s2,chla,"",1.3884,ug/l,l01,odu,"",,,"",37.06237,-75.99937,t3
2080101,448808,bay720,twqm,main,vadeq,odu,le3.6,2018-05-14t00:00:00,16:35:00,9,,,8,b,d,s1,chla,"",7.0488,ug/l,l01,odu,"",,,"",37.5968,-76.28467,t3
2080101,448799,bay720,twqm,main,vadeq,odu,cb8.1e,2018-05-14t00:00:00,09:10:00,15,,,1,s,d,s1,chla,"",4.272,ug/l,l01,odu,"",,,"",36.94737,-76.03494,t3
2080101,448869,bay720,twqm,main,mddnr,mddnr,cb5.3,2018-05-14t00:00:00,10:34:00,27,6.5,8.5,26,b,d,s1,chla,"",2.99,ug/l,l01,cbl,"",,,"",37.91011,-76.17137,t3
2080101,448808,bay720,twqm,main,vadeq,odu,le3.6,2018-05-14t00:00:00,16:35:00,9,,,1,s,d,s1,chla,"",8.01,ug/l,l01,odu,"",,,"",37.5968,-76.28467,t3
2080101,448869,bay720,twqm,main,mddnr,mddnr,cb5.3,2018-05-14t00:00:00,10:34:00,27,6.5,8.5,5,ap,d,s1,chla,"",8.544,ug/l,l01,cbl,"",,,"",37.91011,-76.17137,t3
2080101,448823,bay720,twqm,main,vadeq,odu,we4.3,2018-05-17t00:00:00,07:31:00,5,,,1,s,d,s1,chla,"",8.7576,ug/l,l01,odu,"",,,"",37.17681,-76.373,t3
2080101,448823,bay720,twqm,main,vadeq,odu,we4.3,2018-05-17t00:00:00,07:31:00,5,,,4,b,d,s1,chla,"",9.7188,ug/l,l01,odu,"",,,"",37.17681,-76.373,t3
2080101,448869,bay720,twqm,main,mddnr,mddnr,cb5.3,2018-05-14t00:00:00,10:34:00,27,6.5,8.5,10,bp,d,s1,chla,"",5.34,ug/l,l01,cbl,"",,,"",37.91011,-76.17137,t3
2080101,448869,bay720,twqm,main,mddnr,mddnr,cb5.3,2018-05-14t00:00:00,10:34:00,27,6.5,8.5,0.5,s,d,s1,chla,"",6.408,ug/l,l01,cbl,"",,,"",37.91011,-76.17137,t3
2080101,449481,bay727,twqm,main,vadeq,odu,cb5.4w,2018-08-28t00:00:00,08:47:00,5,,,1,s,d,s1,chla,"",7.6896,ug/l,l01,odu,"",,,"",37.81347,-76.29467,t3
2080101,449477,bay727,twqm,main,vadeq,odu,cb5.4,2018-08-28t00:00:00,09:20:00,33,6,12,32,b,d,s1,chla,"",1.4685,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,449477,bay727,twqm,main,vadeq,odu,cb5.4,2018-08-28t00:00:00,09:20:00,33,6,12,13,bp,d,s1,chla,"",1.869,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,449481,bay727,twqm,main,vadeq,odu,cb5.4w,2018-08-28t00:00:00,08:47:00,5,,,4,b,d,s1,chla,"",10.413,ug/l,l01,odu,"",,,"",37.81347,-76.29467,t3
2080101,449477,bay727,twqm,main,vadeq,odu,cb5.4,2018-08-28t00:00:00,09:20:00,33,6,12,5,ap,d,s1,chla,"",9.345,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,449485,bay727,twqm,main,vadeq,odu,cb5.5,2018-08-28t00:00:00,07:47:00,16,7,10,6,ap,d,s1,chla,"",9.1848,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,449477,bay727,twqm,main,vadeq,odu,cb5.4,2018-08-28t00:00:00,09:20:00,33,6,12,1,s,d,s1,chla,"",10.8135,ug/l,l01,odu,"",,,"",37.80013,-76.17466,t3
2080101,449485,bay727,twqm,main,vadeq,odu,cb5.5,2018-08-28t00:00:00,07:47:00,16,7,10,11,bp,d,s1,chla,"",2.2428,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,449485,bay727,twqm,main,vadeq,odu,cb5.5,2018-08-28t00:00:00,07:47:00,16,7,10,1,s,d,s1,chla,"",9.9324,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,449485,bay727,twqm,main,vadeq,odu,cb5.5,2018-08-28t00:00:00,07:47:00,16,7,10,15,b,d,s1,chla,"",1.8156,ug/l,l01,odu,"",,,"",37.6918,-76.18967,t3
2080101,449489,bay727,twqm,main,vadeq,odu,cb6.1,2018-08-27t00:00:00,16:38:00,12,9,9,11,b,d,s1,chla,"",2.2695,ug/l,l01,odu,"",,,"",37.58847,-76.16216,t3
2080101,449493,bay727,twqm,main,vadeq,odu,cb6.2,2018-08-27t00:00:00,14:37:00,10,8,8,1,s,d,s1,chla,"",7.7964,ug/l,l01,odu,"",,,"",37.4868,-76.15633,t3
2080101,449489,bay727,twqm,main,vadeq,odu,cb6.1,2018-08-27t00:00:00,16:38:00,12,9,9,10,bp,d,s1,chla,"",3.8715,ug/l,l01,odu,"",,,"",37.58847,-76.16216,t3
2080101,449497,bay727,twqm,main,vadeq,odu,cb6.3,2018-08-27t00:00:00,14:03:00,11,8,8,1,s,d,s1,chla,"",5.1264,ug/l,l01,odu,"",,,"",37.41153,-76.15966,t3
2080101,449489,bay727,twqm,main,vadeq,odu,cb6.1,2018-08-27t00:00:00,16:38:00,12,9,9,8,ap,d,s1,chla,"",5.874,ug/l,l01,odu,"",,,"",37.58847,-76.16216,t3
